address,metro_stations,total_info,price,price_per_meter,developer,additional_flat_info,bti_house_data
"Москва, НАО (Новомосковский), Московский поселение, ул. Саларьевская, 9На карте",СаларьевоФилатов Луг ⋅ 5 мин. на транспортеПрокшино ⋅ 7 мин. на транспорте,"23,6 м²
Общая
11,1 м²
Жилая
15 из 15
Этаж
4 кв. 2020
Срок сдачи",6 500 000 ₽,N_A,Перспектива24 - Москва,"Тип жилья
Новостройка
Высота потолков
2,67 м
Санузел
1 совмещенный",N_A
"Москва, НАО (Новомосковский), Внуковское поселение, Переделкино Ближнее микрорайон, ул. Летчика Ульянина, 3АНа карте",Рассказовка ⋅ 3 мин. на транспорте,"41 м²
Общая
12,2 м²
Жилая
17,8 м²
Кухня
4 из 12
Этаж
2020
Построен",6 500 000 ₽,N_A,ID 29260091,"Тип жилья
Вторичка Апартаменты
Площадь комнат
17.8-12.2-11 м²
Высота потолков
3 м
Санузел
1 совмещенный
Ремонт
Евроремонт
Вид из окон
Во двор","О доме
По данным Циан
Тип дома
Монолитный
Лифты
2 пасс., 2 груз.
Парковка
Подземная"
"Москва, НАО (Новомосковский), Сосенское поселение, Столбово деревняНа карте",Ольховая ⋅ 4 мин. на транспортеКоммунарка ⋅ 9 мин. на транспортеУлица Горчакова ⋅ 7 мин. на транспорте,"37,9 м²
Общая
24,8 м²
Жилая
3 м²
Кухня
2 из 14
Этаж
2 кв. 2022
Срок сдачи",6 585 125 ₽,N_A,МИЦ,"Тип жилья
Новостройка
Площадь комнат
24.80 м²
Высота потолков
2,8 м
Санузел
1 совмещенный
Балкон/лоджия
1 балкон, 1 лоджия",N_A
"Москва, НАО (Новомосковский), Рязановское поселение, Остафьево село, ул. Троицкая, 90На карте",Щербинка ⋅ 7 мин. на транспортеСиликатная ⋅ 6 мин. на транспортеУлица Горчакова ⋅ 7 мин. на транспорте,"37,62 м²
Общая
11,8 м²
Жилая
14,6 м²
Кухня
14 из 14
Этаж
4 кв. 2021
Срок сдачи",6 552 501 ₽,"6 552 501 ₽
174 176 ₽/м²
Покупаете в ипотеку?",Самолет,"Тип жилья
Новостройка
Площадь комнат
11.76 м²
Высота потолков
2,8 м
Санузел
1 совмещенный
Балкон/лоджия
1 лоджия
Вид из окон
Во двор
Отделка
Чистовая",N_A
"Москва, НАО (Новомосковский), Сосенское поселение, Скандинавия жилой комплекс, ул. Эдварда Грига, 19к1На карте",Улица Скобелевская ⋅ 6 мин. на транспортеУлица Старокачаловская ⋅ 7 мин. на транспортеЯсенево ⋅ 8 мин. на транспорте,"37 м²
Общая
11,1 м²
Жилая
16,1 м²
Кухня
10 из 16
Этаж
1 кв. 2021
Срок сдачи",6 300 000 ₽,N_A,ID 61717575,"Тип жилья
Новостройка
Санузел
1 совмещенный
Балкон/лоджия
1 лоджия
Вид из окон
Во двор
Отделка
Нет",N_A
"Москва, НАО (Новомосковский), Сосенское поселение, Столбово деревняНа карте",Ольховая ⋅ 4 мин. на транспортеКоммунарка ⋅ 9 мин. на транспортеУлица Горчакова ⋅ 7 мин. на транспорте,"30,5 м²
Общая
9,1 м²
Жилая
12,8 м²
Кухня
3 из 14
Этаж
2 кв. 2022
Срок сдачи",5 994 775 ₽,N_A,МИЦ,"Тип жилья
Новостройка
Площадь комнат
9.10 м²
Высота потолков
2,8 м
Санузел
1 совмещенный
Балкон/лоджия
1 балкон, 1 лоджия",N_A
"Москва, НАО (Новомосковский), Воскресенское поселокНа карте",Коммунарка ⋅ 10 мин. на транспортеОльховая ⋅ 4 мин. на транспортеУлица Горчакова ⋅ 7 мин. на транспорте,"37,5 м²
Общая
14,1 м²
Жилая
11,2 м²
Кухня
10 из 14
Этаж
4 кв. 2020
Срок сдачи",6 200 000 ₽,N_A,МИЦ-Столичный ипотечный центр недвижимости,"Тип жилья
Новостройка
Площадь комнат
14.1 м²
Высота потолков
2,8 м
Санузел
1 совмещенный
Балкон/лоджия
1 балкон
Вид из окон
Во двор
Отделка
Нет",N_A
"Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12",Международная ⋅ 5 мин. пешкомДеловой центр ⋅ 8 мин. пешком,"72,7 м²
Общая
75 из 96
Этаж
2017
Срок сдачи",48 429 977 ₽,N_A,Башня Федерация,N_A,N_A
"Москва, ЗАО, р-н Раменки, Винницкая ул., 8На карте",Раменки ⋅ 11 мин. пешкомЛомоносовский проспект ⋅ 3 мин. на транспортеМичуринский проспект ⋅ 3 мин. на транспорте,"40,6 м²
Общая
16,6 м²
Жилая
10,9 м²
Кухня
5 из 28
Этаж
4 кв. 2022
Срок сдачи",14 726 188 ₽,N_A,Центр-Инвест,"Тип жилья
Новостройка
Площадь комнат
16.60 м²
Высота потолков
3 м
Санузел
1 совмещенный
Балкон/лоджия
1 лоджия",N_A
"Москва, САО, р-н Аэропорт, Ленинградский просп., 36с31На карте",Динамо ⋅ 9 мин. пешкомПетровский Парк ⋅ 10 мин. пешкомСавеловская ⋅ 21 мин. пешком,"93 м²
Общая
6 из 10
Этаж
2017
Построен",47 000 000 ₽,N_A,SHOW ME,"Тип жилья
Вторичка Апартаменты
Санузел
2 совмещенных
Ремонт
Дизайнерский","О доме
По данным Циан
Год постройки
2017
Тип дома
Монолитный
Лифты
Есть
Аварийность
Нет
Мусоропровод
Нет"
"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк4На карте",Ботанический сад ⋅ 3 мин. на транспортеВДНХ ⋅ 3 мин. на транспорте,"124,8 м²
Общая
37 из 38
Этаж
4 кв. 2015
Срок сдачи",23 062 203 ₽,N_A,Capital Group,"Тип жилья
Новостройка
Отделка
Черновая",N_A
"Москва, ЦАО, р-н Красносельский, Большая Спасская ул.На карте",Комсомольская ⋅ 9 мин. пешкомКрасные ворота ⋅ 12 мин. пешкомПроспект Мира ⋅ 14 мин. пешком,"42,5 м²
Общая
13,9 м²
Жилая
18,1 м²
Кухня
18 из 22
Этаж
4 кв. 2021
Срок сдачи",19 621 230 ₽,N_A,Центр-Инвест,"Тип жилья
Новостройка
Площадь комнат
13.9 м²
Высота потолков
3,25 м
Санузел
1 совмещенный",N_A
"Москва, СЗАО, р-н Хорошево-Мневники, Причальный проезд, 8На карте",Шелепиха ⋅ 6 мин. пешкомТестовская ⋅ 20 мин. пешкомФили ⋅ 4 мин. на транспорте,"37,8 м²
Общая
12 из 32
Этаж
4 кв. 2023
Срок сдачи",12 719 969 ₽,N_A,Level Group,"Тип жилья
Новостройка
Площадь комнат
0 м²
Высота потолков
2,95 м
Санузел
1 совмещенный
Балкон/лоджия
1 балкон
Вид из окон
Во двор
Отделка
Чистовая",N_A
"Москва, ЦАО, р-н Якиманка, Софийская наб., 34На карте",Новокузнецкая ⋅ 9 мин. пешкомТретьяковская ⋅ 9 мин. пешкомКитай-город ⋅ 17 мин. пешком,"74,6 м²
Общая
24,5 м²
Жилая
5 из 8
Этаж
4 кв. 2018
Срок сдачи",68 846 547 ₽,N_A,Трансстройинвест,"Тип жилья
Новостройка Апартаменты
Площадь комнат
24.47 м²
Высота потолков
3,2 м
Санузел
1 совмещенный, 1 раздельный
Вид из окон
На улицу и двор
Отделка
Нет",N_A
"Москва, ЦАО, р-н Арбат, Поварская ул., 8/1С1На карте",Арбатская ⋅ 5 мин. пешкомАлександровский сад ⋅ 9 мин. пешкомБиблиотека им. Ленина ⋅ 10 мин. пешком,"73 м²
Общая
51 м²
Жилая
14 м²
Кухня
3 из 4
Этаж
2017
Построен",72 000 000 ₽,N_A,N_A,"Тип жилья
Вторичка Апартаменты
Планировка
Смежно-изолированная
Высота потолков
3,2 м
Санузел
2 раздельных
Ремонт
Дизайнерский
Вид из окон
На улицу и двор","О доме
По данным Циан
Год постройки
2017
Тип дома
Блочный
Подъезды
8
Лифты
1 пасс., 1 груз.
Отопление
Центральное
Аварийность
Нет
Парковка
Подземная
Газоснабжение
Центральное"
"Москва, САО, р-н Беговой, ул. 3-я Ямского Поля, 9На карте",Менделеевская ⋅ 5 мин. на транспортеНовослободская ⋅ 6 мин. на транспортеБелорусская ⋅ 8 мин. пешком,"64 м²
Общая
2 из 6
Этаж
2016
Построен",27 999 000 ₽,N_A,SHOW ME,"Тип жилья
Вторичка Апартаменты
Санузел
1 совмещенный
Ремонт
Дизайнерский
Вид из окон
На улицу и двор","О доме
По данным Циан
Год постройки
2016
Тип дома
Монолитный
Лифты
Есть
Аварийность
Нет"
"Москва, ЦАО, р-н Арбат, ул. Арбат, 39",Смоленская ⋅ 6 мин. пешкомАрбатская ⋅ 12 мин. пешкомКропоткинская ⋅ 13 мин. пешком,"89,8 м²
Общая
2 из 5
Этаж
4 кв. 2018
Срок сдачи",83 963 000 ₽,N_A,Valartis Group,N_A,N_A
"Москва, ЦАО, р-н Красносельский, 3-й Красносельский пер., 19С2На карте",Красносельская ⋅ 9 мин. пешкомБауманская ⋅ 6 мин. на транспортеКомсомольская ⋅ 15 мин. пешком,"71,3 м²
Общая
2 из 2
Этаж",18 549 978 ₽,N_A,ID 32480388,"Тип жилья
Вторичка Апартаменты
Высота потолков
2,6 м
Санузел
1 раздельный
Ремонт
Без ремонта
Вид из окон
Во двор","О доме
Лифты
2 пасс.
Парковка
Наземная"
"Москва, ЦАО, р-н Красносельский, 3-й Красносельский пер., 19С2На карте",Красносельская ⋅ 9 мин. пешкомБауманская ⋅ 6 мин. на транспортеКомсомольская ⋅ 15 мин. пешком,"68,8 м²
Общая
2 из 2
Этаж",18 549 994 ₽,N_A,ID 32480388,"Тип жилья
Вторичка Апартаменты
Высота потолков
2,6 м
Санузел
1 раздельный
Ремонт
Без ремонта
Вид из окон
Во двор","О доме
Лифты
2 пасс.
Парковка
Наземная"
