address,metro_station,type,type_object,price,price_per_meter,n_rooms,floor,square_total,square_living,square_kitchen,wall_type,series,ad_number,year_built,year_start_operation,floor_max,floor_min,entrances_number,overlaps,garbage_chute,heating,gas_stove
"мкр. 2Г, стр. 17, Левобережный, Москва","M
Речной вокзал 521 м",Квартира,Новостройка,14 000 000 ₽,278 884 ₽,1,21/30,50.2 м²,19.5 м²,14.4 м²,Монолит,N_A,2835069606,Похожие предложения,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
"Москва, 1-й проезд Марьиной Рощи, 11, Марьина Роща, Москва","M
Марьина Роща 248 м",Квартира,Вторичная,13 000 000 ₽,302 326 ₽,2,2/5,43 м²,31 м²,6 м²,Панель,I-510,3064824779,1961,1961,5,5,3,Железобетонные,Нет,Центральное,Да
"Москва, Новочерёмушкинская улица, 50, Черёмушки, Москва","M
Новые Черемушки 742 м",Квартира,Вторичная,21 500 000 ₽,289 757 ₽,3,12/17,74.2 м²,45 м²,10.2 м²,Панель,П-44,3017477776,1996,1996,17,14,15,Железобетонные,Есть,Центральное,Нет
"Москва, Северо-Восточный административный округ, район Северное Медведково, Северное Медведково, Москва","M
Медведково 1.2 км",Квартира,Вторичная,5 800 000 ₽,175 758 ₽,1,4/5,33 м²,17 м²,7 м²,Кирпич,N_A,2272749688,Похожие предложения,N_A,N_A,N_A,N_A,N_A,N_A,N_A,N_A
"пр-т Нахимовский, вл. 31","M
Профсоюзная 1.4 км",N_A,N_A,9 844 570 ₽,N_A,N_A,N_A,N_A,N_A,N_A,N_A,Монтаж последних этажей,N_A,Корпус 2,Не указано,Монолитный,1 кв. 2021,N_A,N_A,N_A,N_A,N_A
"Москва, Профсоюзная улица, 43к2, Черёмушки, Москва","M
Новые Черемушки 380 м",Квартира,Вторичная,23 500 000 ₽,316 285 ₽,3,12/16,74.3 м²,42.2 м²,8.8 м²,Кирпич,индивидуальный проект,2916550570,1987,1987,16,11,14,Железобетонные,Есть,Центральное,Нет
"Москва, 3-й Павелецкий проезд, 6кА, Даниловский, Москва","M
Тульская 1.1 км",Квартира,Вторичная,8 600 000 ₽,268 750 ₽,1,1/9,32 м²,21.5 м²,5.1 м²,Панель,индивидуальный проект,3056768208,1963,1963,9,9,1,Железобетонные,Есть,Центральное,Да
"Москва, посёлок Рублёво, Новолучанская улица, 7к1, Кунцево, Москва","M
Строгино 3.2 км",Квартира,Вторичная,15 000 000 ₽,154 480 ₽,3,3/14,97.1 м²,52.2 м²,11.8 м²,Панель,П-46м,1992915238,2002,2002,14,14,7,Железобетонные,Есть,Центральное,Нет
"Москва, Базовская улица, 15к15, Западное Дегунино, Москва","M
Ховрино 1.6 км",Квартира,Вторичная,11 200 000 ₽,198 230 ₽,2,23/24,56.5 м²,45 м²,10.1 м²,Монолит,индивидуальный проект,2722814206,2015,2015,24,24,1,Железобетонные,Есть,Центральное,Нет
"пр-т Нахимовский, вл. 31","M
Профсоюзная 1.4 км",N_A,N_A,14 243 906 ₽,N_A,N_A,N_A,N_A,N_A,N_A,N_A,Монтаж последних этажей,N_A,Корпус 1,Не указано,Монолитный,1 кв. 2021,N_A,N_A,N_A,N_A,N_A
"Москва, Ярославская улица, 16, Алексеевский, Москва","M
ВДНХ 720 м",Квартира,Вторичная,3 500 000 ₽,250 000 ₽,Студия,1/5,14 м²,,,Кирпич,индивидуальный проект,2827385802,1958,1958,5,5,2,Железобетонные,Нет,Центральное,Да
"Москва, Веерная улица, 30к6, Очаково-Матвеевское, Москва","M
Раменки 2.0 км",N_A,N_A,29 900 000 ₽,N_A,N_A,N_A,N_A,N_A,N_A,N_A,3,N_A,Квартира,Вторичная,120 м²,9.2 м²,85 м²,29 900 000 ₽,Кирпич,8/10/2020,8/12/2020
"Москва, Народная улица, 13, Таганский, Москва","M
M
Таганская 330 м",Квартира,Вторичная,35 500 000 ₽,298 319 ₽,3,1/10,119 м²,87 м²,25 м²,Кирпич,индивидуальный проект,2985799836,1940,1940,10,10,8,Железобетонные,Есть,Центральное,Да
